,Model,Accuracy,Precision,Recall,F1,Val AUC,Train AUC,Overfit Gap,TP,FN,FP,TN,Train Time(s),Pred Time(s)
1,Random Forest,92.51,56.85,82.18,67.21,96.84,99.75,2.9,83,18,63,918,1.523,0.0898
2,XGBoost,93.44,61.19,81.19,69.79,96.79,99.99,3.2,82,19,52,929,0.769,0.0036
3,Logistic Regression,90.3,48.92,90.1,63.41,96.75,95.86,-0.89,91,10,95,886,0.237,0.0
4,AdaBoost,88.35,44.08,92.08,59.62,96.43,95.48,-0.95,93,8,118,863,4.441,0.0475
5,Gradient Boosting,92.79,58.65,77.23,66.67,96.29,100.0,3.7,78,23,55,926,18.344,0.0109
6,Extra Trees,88.63,44.55,89.11,59.41,96.27,97.86,1.6,90,11,112,869,0.284,0.0921
7,SVM,90.11,48.42,91.09,63.23,95.02,95.92,0.9,92,9,98,883,12.157,0.495
