Model,IsChosen,Accuracy,Precision,Recall,F1,ValAUC,TrainAUC,OverfitGap,TP,FN,FP,TN,TrainTime,PredTime
Logistic Regression,True,90.2957,48.9247,90.099,63.4146,96.7511,95.8625,-0.8887,91,10,95,886,0.237,0.0
Random Forest,False,92.5139,56.8493,82.1782,67.2065,96.841,99.7458,2.9048,83,18,63,918,1.523,0.0898
Gradient Boosting,False,92.7911,58.6466,77.2277,66.6667,96.295,99.9958,3.7008,78,23,55,926,18.344,0.0109
XGBoost,False,93.4381,61.194,81.1881,69.7872,96.7925,99.9931,3.2006,82,19,52,929,0.769,0.0036
Extra Trees,False,88.6322,44.5545,89.1089,59.4059,96.2657,97.8634,1.5977,90,11,112,869,0.284,0.0921
AdaBoost,False,88.3549,44.0758,92.0792,59.6154,96.4347,95.4806,-0.9541,93,8,118,863,4.441,0.0475
SVM,False,90.1109,48.4211,91.0891,63.2302,95.0172,95.9187,0.9015,92,9,98,883,12.157,0.495
